nom,id,frequences,status,mode,location
English Man ENIGMA ID: E06 Signabroam ID: NS0706-E,NS0706-E,See Priyom.org for the schedule of E06.,Active,USB (with Carrier),"Moscow, Russia Orenburg, Russia Smolensk, Russia Chita, Russia"
FL Numbers Station Call: FL - Tour Eiffel ENIGMA ID: FL Signabroam ID: NS3301-MO,NS3301-MO,Unknown,Inactive,CW,"Eiffel Tower, Paris, France"
ICI Numbers Station Call: ICI ENIGMA ID: ICI Signabroam ID: NS3901-MO,NS3901-MO,Unknown,Inactive,CW,"Cotona, Italy"
M01 ENIGMA ID: M01 Signabroam ID: NS0702-MO,NS0702-MO,See Priyom.org for the schedule of M01.,Active,CW,Russia
M12 ENIGMA ID: M12 Signabroam ID: NS0712-MO,NS0712-MO,See Priyom.org for the schedule of M12.,Active,"CW, USB (with Carrier)","Moscow, Russia Khabarovsk, Russia"
M14 ENIGMA ID: M14 Signabroam ID: NS0714-MO,NS0714-MO,See Priyom.org for the schedule of M14.,Active,"CW, USB (with Carrier)","Moscow, Russia"
MSK Numbers Station Call: MSK ENIGMA ID: MSK Signabroam ID: NS0701-MO,NS0701-MO,Unknown,Inactive,CW,"Moscow, Russia"
