nom,id,frequences,status,mode,location
Proselok,,"6685, 8847, 11360, 18030 kHz",Active,USB,"334th Regiment, Pskov, Russia"
"REA4 Callsigns: REA4, A2CA, 7XMF, HA57, JUE4, JZLB, L9XC, MJUR, MSK7, PABA, QMCK, OM9V, 2WQX, HEDT, P79N, QMCK, 4DPL, QVMY, NUHL, 93JT Signabroam ID: MO10",MO10,,Active,,"Moscow; Irkutsk area; Khabarovsk, Russia"
RICARJ Callsigns: RICARJ Signabroam ID: MO02,MO02,5832 kHz,Active,"OOK (1A1), CW","Renchovo, Russia"
S12035 Signabroam ID: S12035,S12035,,Active,USB,Far eastern Russia
S5826 Slavic call: S5826 Caller: Multiple Recipient: Multiple Signabroam ID: S5826,S5826,,Active,USB,Far eastern Russia
S5959 Callsigns: N/A Signabroam ID: S5959,S5959,5959 kHz,Inactive,USB,Russia
"S9062 Slavic call: S9062 Caller: Kuzni03, Privod74 Recipient: Kabron56, Derevo17 Signabroam ID: S9062",S9062,,Active,USB,Far eastern Russia
"Slavic Call: S4467 Callsigns: VOLNUShKA-7, BUShLAT-11 Signabroam ID: S4467",S4467,"4467, 4639",Inactive,USB,"Sevastopol, Russia"
Slavic Call: S4468 Callsigns: Unidentified yet Signabroam ID: S4468,S4468,"4468, 4897 kHz",Active,"DSB (USB and LSB at same time), Voices are stronger in USB otherwise the GroundLoop is stronger in LSB",Russia or Belarus
Slavic Call: S4574 Callsigns: Unidentified yet Signabroam ID: S4574,S4574,4574 kHz,Active,"DSB (USB and LSB at same time), Voices are stronger in USB otherwise the GroundLoop is stronger in LSB",Russia or Belarus
Sosna2 Callsigns: Sosna2,,4524 kHz,Inactive,USB,Russia
